"","eld_bounds","pop_in_000","pct","inc_level"
"1","ALJUNIED",11.6463483046562,7.86575981319575,"Below $1,000"
"2","ANG MO KIO",13.8266999726883,7.7998549804883,"Below $1,000"
"3","BISHAN-TOA PAYOH",6.80036246994111,8.22804565357447,"Below $1,000"
"4","BUKIT BATOK",0.774538694188666,8.06977789112523,"Below $1,000"
"5","BUKIT PANJANG",0.859631906284225,6.36704119850187,"Below $1,000"
"6","CHUA CHU KANG",7.8489033956703,7.71728958365454,"Below $1,000"
"7","EAST COAST",13.1671391130647,8.40948705690892,"Below $1,000"
"8","HOLLAND-BUKIT TIMAH",6.95611701577334,6.39972108570932,"Below $1,000"
"9","HONG KAH NORTH",1.145581246352,8.08109540254622,"Below $1,000"
"10","HOUGANG",1.03510431825964,8.36092715231788,"Below $1,000"
"11","JALAN BESAR",5.48273498648185,8.15148726838734,"Below $1,000"
"12","JURONG",7.06017974781283,8.37011447068434,"Below $1,000"
"13","KEBUN BARU",2.96988198476306,9.58463893096483,"Below $1,000"
"14","MACPHERSON",1.43207958346747,10.5862477742314,"Below $1,000"
"15","MARINE PARADE",10.394953820871,8.54357739181544,"Below $1,000"
"16","MARSILING-YEW TEE",7.16665096298455,7.88339236201716,"Below $1,000"
"17","MARYMOUNT",0.957912520440494,7.88018413478807,"Below $1,000"
"18","MOUNTBATTEN",2.56331831346404,7.98667410556342,"Below $1,000"
"19","NEE SOON",8.60359576284378,8.63182750203633,"Below $1,000"
"20","PASIR RIS-PUNGGOL",8.68444384423871,7.61292120317518,"Below $1,000"
"21","PIONEER",0.98924522093549,8.44360428481412,"Below $1,000"
"22","POTONG PASIR",3.68761997115902,9.36614759984467,"Below $1,000"
"23","PUNGGOL WEST",0.530894166679114,5.96072932144105,"Below $1,000"
"24","RADIN MAS",1.65825147242274,10.3406326034063,"Below $1,000"
"25","SEMBAWANG",9.32760189824646,7.57957865925968,"Below $1,000"
"26","SENGKANG",3.63312490626675,6.04926857859107,"Below $1,000"
"27","TAMPINES",5.54482211075861,8.50800699221228,"Below $1,000"
"28","TANJONG PAGAR",5.66533782637148,8.63306110041938,"Below $1,000"
"29","WEST COAST",19.7774265985686,8.75251744071414,"Below $1,000"
"30","YIO CHU KANG",1.77600337446983,9.58421074280215,"Below $1,000"
"31","YUHUA",0.433494489875641,9.32735522837616,"Below $1,000"
"32",NA,NA,NA,"Below $1,000"
"33","ALJUNIED",23.1399023552881,15.6283247990042,"$1,000 - $1,999"
"34","ANG MO KIO",28.6627762367849,16.1691147147703,"$1,000 - $1,999"
"35","BISHAN-TOA PAYOH",11.612673855668,14.0506643677972,"$1,000 - $1,999"
"36","BUKIT BATOK",1.48545115264543,15.4766455955068,"$1,000 - $1,999"
"37","BUKIT PANJANG",1.97209672618146,14.6067415730337,"$1,000 - $1,999"
"38","CHUA CHU KANG",15.1231355929754,14.8695443045261,"$1,000 - $1,999"
"39","EAST COAST",24.2791906705814,15.5064466125289,"$1,000 - $1,999"
"40","HOLLAND-BUKIT TIMAH",13.6980416410142,12.6023822952002,"$1,000 - $1,999"
"41","HONG KAH NORTH",2.19604312933448,15.4912050915377,"$1,000 - $1,999"
"42","HOUGANG",1.94722594524091,15.7284768211921,"$1,000 - $1,999"
"43","JALAN BESAR",12.2336666577955,18.1884731347748,"$1,000 - $1,999"
"44","JURONG",12.5807417697207,14.9149529473812,"$1,000 - $1,999"
"45","KEBUN BARU",6.12337306903736,19.7618357252668,"$1,000 - $1,999"
"46","MACPHERSON",2.26930814486019,16.7752257450691,"$1,000 - $1,999"
"47","MARINE PARADE",19.7012014341514,16.1923508333888,"$1,000 - $1,999"
"48","MARSILING-YEW TEE",15.2175411189149,16.7394572506955,"$1,000 - $1,999"
"49","MARYMOUNT",1.44967321189864,11.9256107434296,"$1,000 - $1,999"
"50","MOUNTBATTEN",4.78911817925951,14.9217231234483,"$1,000 - $1,999"
"51","NEE SOON",19.5438691339587,19.6080001591036,"$1,000 - $1,999"
"52","PASIR RIS-PUNGGOL",12.1764658898281,10.6740831094104,"$1,000 - $1,999"
"53","PIONEER",1.87513646356429,16.005040957782,"$1,000 - $1,999"
"54","POTONG PASIR",6.47972278915064,16.4577804990537,"$1,000 - $1,999"
"55","PUNGGOL WEST",0.886226682459611,9.95030215649994,"$1,000 - $1,999"
"56","RADIN MAS",3.1409233771772,19.5863746958637,"$1,000 - $1,999"
"57","SEMBAWANG",20.2055509255971,16.4189643023929,"$1,000 - $1,999"
"58","SENGKANG",7.54912620718439,12.5695353556848,"$1,000 - $1,999"
"59","TAMPINES",9.89411022773339,15.1815797365153,"$1,000 - $1,999"
"60","TANJONG PAGAR",9.96074395042668,15.1785672390771,"$1,000 - $1,999"
"61","WEST COAST",36.4988039396172,16.1525776093552,"$1,000 - $1,999"
"62","YIO CHU KANG",3.6621343818891,19.7627257859035,"$1,000 - $1,999"
"63","YUHUA",0.74602514006104,16.0519721776501,"$1,000 - $1,999"
"64",NA,NA,NA,"$1,000 - $1,999"
"65","ALJUNIED",20.3121432593483,13.7185009403661,"$2,000 - $2,999"
"66","ANG MO KIO",24.9561052622855,14.0781243758905,"$2,000 - $2,999"
"67","BISHAN-TOA PAYOH",9.98740622029018,12.0841844393705,"$2,000 - $2,999"
"68","BUKIT BATOK",1.35859358603436,14.1549396639106,"$2,000 - $2,999"
"69","BUKIT PANJANG",2.15750752949766,15.980024968789,"$2,000 - $2,999"
"70","CHUA CHU KANG",14.5565958974239,14.3125045919952,"$2,000 - $2,999"
"71","EAST COAST",21.3994660305566,13.6672462456305,"$2,000 - $2,999"
"72","HOLLAND-BUKIT TIMAH",13.6064601925876,12.5181261325701,"$2,000 - $2,999"
"73","HONG KAH NORTH",2.0097299529475,14.1769250630114,"$2,000 - $2,999"
"74","HOUGANG",1.85498892678213,14.9834437086093,"$2,000 - $2,999"
"75","JALAN BESAR",8.94189194374641,13.2944084502461,"$2,000 - $2,999"
"76","JURONG",11.4515301237214,13.5762291363377,"$2,000 - $2,999"
"77","KEBUN BARU",4.34777155864418,14.0314735594611,"$2,000 - $2,999"
"78","MACPHERSON",1.93883070921808,14.3322637352142,"$2,000 - $2,999"
"79","MARINE PARADE",15.8167231830265,12.9997112952818,"$2,000 - $2,999"
"80","MARSILING-YEW TEE",15.0972176609782,16.6071001658914,"$2,000 - $2,999"
"81","MARYMOUNT",1.30187861605322,10.7097913397403,"$2,000 - $2,999"
"82","MOUNTBATTEN",3.77940796608078,11.7757125903985,"$2,000 - $2,999"
"83","NEE SOON",16.0391623648738,16.091793085939,"$2,000 - $2,999"
"84","PASIR RIS-PUNGGOL",13.5651349287783,11.8914124122915,"$2,000 - $2,999"
"85","PIONEER",1.72748792312615,14.7448015122873,"$2,000 - $2,999"
"86","POTONG PASIR",5.75123711485872,14.6075073138681,"$2,000 - $2,999"
"87","PUNGGOL WEST",0.960531509652026,10.784575708498,"$2,000 - $2,999"
"88","RADIN MAS",2.14597249372355,13.38199513382,"$2,000 - $2,999"
"89","SEMBAWANG",20.1925340038379,16.4083867945348,"$2,000 - $2,999"
"90","SENGKANG",8.64956771895052,14.4018054899215,"$2,000 - $2,999"
"91","TAMPINES",9.38294800592427,14.397249478405,"$2,000 - $2,999"
"92","TANJONG PAGAR",7.23568831805375,11.0260219721719,"$2,000 - $2,999"
"93","WEST COAST",31.8290309859434,14.0859655040086,"$2,000 - $2,999"
"94","YIO CHU KANG",2.60044032699458,14.0332887179549,"$2,000 - $2,999"
"95","YUHUA",0.746015686060512,16.0517687590985,"$2,000 - $2,999"
"96",NA,NA,NA,"$2,000 - $2,999"
"97","ALJUNIED",19.3475941939397,13.0670597265125,"$3,000 - $3,999"
"98","ANG MO KIO",22.9252225286055,12.932472062875,"$3,000 - $3,999"
"99","BISHAN-TOA PAYOH",8.65923573562367,10.4771748965893,"$3,000 - $3,999"
"100","BUKIT BATOK",1.09183070003612,11.375585635825,"$3,000 - $3,999"
"101","BUKIT PANJANG",1.76983039529105,13.1086142322097,"$3,000 - $3,999"
"102","CHUA CHU KANG",13.8191885120218,13.5874623730512,"$3,000 - $3,999"
"103","EAST COAST",19.8083033199358,12.6510146933167,"$3,000 - $3,999"
"104","HOLLAND-BUKIT TIMAH",11.8252510121651,10.8793897622415,"$3,000 - $3,999"
"105","HONG KAH NORTH",1.62872592937722,11.4892677073852,"$3,000 - $3,999"
"106","HOUGANG",1.74225479311029,14.0728476821192,"$3,000 - $3,999"
"107","JALAN BESAR",7.9480841179491,11.816859041204,"$3,000 - $3,999"
"108","JURONG",10.3822461004996,12.3085518255989,"$3,000 - $3,999"
"109","KEBUN BARU",3.52119113570818,11.3638675933345,"$3,000 - $3,999"
"110","MACPHERSON",1.71850366777499,12.7035577058799,"$3,000 - $3,999"
"111","MARINE PARADE",14.8560910341282,12.2101709807591,"$3,000 - $3,999"
"112","MARSILING-YEW TEE",12.7271219854035,13.9999696885485,"$3,000 - $3,999"
"113","MARYMOUNT",1.12985133400937,9.29462384815218,"$3,000 - $3,999"
"114","MOUNTBATTEN",3.79586647204422,11.8269932771177,"$3,000 - $3,999"
"115","NEE SOON",15.0359787241011,15.085317610021,"$3,000 - $3,999"
"116","PASIR RIS-PUNGGOL",13.996210049467,12.2692996996426,"$3,000 - $3,999"
"117","PIONEER",1.68319336099471,14.3667296786389,"$3,000 - $3,999"
"118","POTONG PASIR",4.83203930626595,12.2728463628841,"$3,000 - $3,999"
"119","PUNGGOL WEST",1.0477692107164,11.7640559049414,"$3,000 - $3,999"
"120","RADIN MAS",1.61923379071868,10.0973236009732,"$3,000 - $3,999"
"121","SEMBAWANG",16.8286660534077,13.6749187490727,"$3,000 - $3,999"
"122","SENGKANG",7.9269801931481,13.198674266005,"$3,000 - $3,999"
"123","TAMPINES",8.78603468364228,13.4813422376901,"$3,000 - $3,999"
"124","TANJONG PAGAR",5.94437836210348,9.05827387118383,"$3,000 - $3,999"
"125","WEST COAST",27.9725875160258,12.379293073126,"$3,000 - $3,999"
"126","YIO CHU KANG",2.10629832239108,11.3666490160994,"$3,000 - $3,999"
"127","YUHUA",0.524237459394445,11.279841202125,"$3,000 - $3,999"
"128",NA,NA,NA,"$3,000 - $3,999"
"129","ALJUNIED",14.3003590716442,9.65823679299011,"$4,000 - $4,999"
"130","ANG MO KIO",18.2073347570149,10.2710387125228,"$4,000 - $4,999"
"131","BISHAN-TOA PAYOH",7.95395207133875,9.62382241514329,"$4,000 - $4,999"
"132","BUKIT BATOK",0.965006042162772,10.0542225743863,"$4,000 - $4,999"
"133","BUKIT PANJANG",1.39900878865864,10.3620474406991,"$4,000 - $4,999"
"134","CHUA CHU KANG",10.7654682803763,10.5849482450174,"$4,000 - $4,999"
"135","EAST COAST",16.1507711240479,10.3150501836816,"$4,000 - $4,999"
"136","HOLLAND-BUKIT TIMAH",9.72869809364658,8.95053291732015,"$4,000 - $4,999"
"137","HONG KAH NORTH",1.4359409425761,10.1293345944092,"$4,000 - $4,999"
"138","HOUGANG",1.20932979757067,9.7682119205298,"$4,000 - $4,999"
"139","JALAN BESAR",5.72072239047656,8.50531638806622,"$4,000 - $4,999"
"140","JURONG",9.15519903434715,10.8538403633595,"$4,000 - $4,999"
"141","KEBUN BARU",3.00062445818825,9.68385348195942,"$4,000 - $4,999"
"142","MACPHERSON",1.25583895274906,9.28343820539834,"$4,000 - $4,999"
"143","MARINE PARADE",11.1504327188502,9.16450294319304,"$4,000 - $4,999"
"144","MARSILING-YEW TEE",10.0010818822951,11.001296551208,"$4,000 - $4,999"
"145","MARYMOUNT",1.15422163783554,9.49510403551065,"$4,000 - $4,999"
"146","MOUNTBATTEN",2.76383972031608,8.61144985787803,"$4,000 - $4,999"
"147","NEE SOON",10.2754133988732,10.3091310210359,"$4,000 - $4,999"
"148","PASIR RIS-PUNGGOL",12.5064619438562,10.9633628838823,"$4,000 - $4,999"
"149","PIONEER",1.42480841522798,12.1613106490233,"$4,000 - $4,999"
"150","POTONG PASIR",3.99442069276298,10.145387560783,"$4,000 - $4,999"
"151","PUNGGOL WEST",0.914898572859032,10.2722220202536,"$4,000 - $4,999"
"152","RADIN MAS",1.36561885964226,8.51581508515815,"$4,000 - $4,999"
"153","SEMBAWANG",12.7761033411608,10.3818196026745,"$4,000 - $4,999"
"154","SENGKANG",6.85395452612948,11.4120523856724,"$4,000 - $4,999"
"155","TAMPINES",7.20827218741816,11.0604143734978,"$4,000 - $4,999"
"156","TANJONG PAGAR",5.51562477280218,8.40492255359207,"$4,000 - $4,999"
"157","WEST COAST",24.907655033291,11.0229045219639,"$4,000 - $4,999"
"158","YIO CHU KANG",1.79455063437302,9.68430111997651,"$4,000 - $4,999"
"159","YUHUA",0.544387857508912,11.7134105452111,"$4,000 - $4,999"
"160",NA,NA,NA,"$4,000 - $4,999"
"161","ALJUNIED",13.0547419800049,8.8169666707382,"$5,000 - $5,999"
"162","ANG MO KIO",15.2607028740941,8.60879816249543,"$5,000 - $5,999"
"163","BISHAN-TOA PAYOH",6.32505175875798,7.65294715720247,"$5,000 - $5,999"
"164","BUKIT BATOK",0.850538053573264,8.86160140453141,"$5,000 - $5,999"
"165","BUKIT PANJANG",1.21359798534244,8.98876404494382,"$5,000 - $5,999"
"166","CHUA CHU KANG",8.61300592788953,8.46857931363036,"$5,000 - $5,999"
"167","EAST COAST",12.978957631458,8.28930075673148,"$5,000 - $5,999"
"168","HOLLAND-BUKIT TIMAH",9.26696676979272,8.52573389762287,"$5,000 - $5,999"
"169","HONG KAH NORTH",1.2544067662289,8.84876632170402,"$5,000 - $5,999"
"170","HOUGANG",1.13758989432495,9.1887417218543,"$5,000 - $5,999"
"171","JALAN BESAR",4.69329610926231,6.97778455018349,"$5,000 - $5,999"
"172","JURONG",7.00019518767403,8.29900046894933,"$5,000 - $5,999"
"173","KEBUN BARU",2.41888484245547,7.80641720764169,"$5,000 - $5,999"
"174","MACPHERSON",0.969418757781553,7.16615702460803,"$5,000 - $5,999"
"175","MARINE PARADE",9.82507149054492,8.07519303174325,"$5,000 - $5,999"
"176","MARSILING-YEW TEE",7.61560021725691,8.37724132164196,"$5,000 - $5,999"
"177","MARYMOUNT",0.933198172544986,7.67687369878056,"$5,000 - $5,999"
"178","MOUNTBATTEN",2.30042939592843,7.16757641516231,"$5,000 - $5,999"
"179","NEE SOON",8.606102381728,8.63434234611064,"$5,000 - $5,999"
"180","PASIR RIS-PUNGGOL",10.4961274668418,9.20107179880719,"$5,000 - $5,999"
"181","PIONEER",1.0040100749793,8.56962822936358,"$5,000 - $5,999"
"182","POTONG PASIR",3.04522455246752,7.73453415920112,"$5,000 - $5,999"
"183","PUNGGOL WEST",0.898842733773688,10.0919516070091,"$5,000 - $5,999"
"184","RADIN MAS",1.07298624686178,6.69099756690998,"$5,000 - $5,999"
"185","SEMBAWANG",10.9060983641394,8.86225970173088,"$5,000 - $5,999"
"186","SENGKANG",5.36482956145118,8.93261193404188,"$5,000 - $5,999"
"187","TAMPINES",5.45944743494315,8.37700759777067,"$5,000 - $5,999"
"188","TANJONG PAGAR",4.25556370172839,6.48479271310786,"$5,000 - $5,999"
"189","WEST COAST",18.1694970995509,8.04092683445142,"$5,000 - $5,999"
"190","YIO CHU KANG",1.44667588674602,7.80699337310835,"$5,000 - $5,999"
"191","YUHUA",0.362940679873471,7.80927261377504,"$5,000 - $5,999"
"192",NA,NA,NA,"$5,000 - $5,999"
"193","ALJUNIED",9.0583244241922,6.11784933498982,"$6,000 - $6,999"
"194","ANG MO KIO",10.8737515109241,6.13405115078832,"$6,000 - $6,999"
"195","BISHAN-TOA PAYOH",4.43600293833841,5.36730723654427,"$6,000 - $6,999"
"196","BUKIT BATOK",0.558634015416892,5.8203062812297,"$6,000 - $6,999"
"197","BUKIT PANJANG",0.927054016581028,6.86641697877653,"$6,000 - $6,999"
"198","CHUA CHU KANG",6.07977567916689,5.97782736702722,"$6,000 - $6,999"
"199","EAST COAST",10.1348668204598,6.47285872947043,"$6,000 - $6,999"
"200","HOLLAND-BUKIT TIMAH",6.44707499508873,5.93139558947337,"$6,000 - $6,999"
"201","HONG KAH NORTH",0.823630874402026,5.81001102603616,"$6,000 - $6,999"
"202","HOUGANG",0.758393262883302,6.12582781456954,"$6,000 - $6,999"
"203","JALAN BESAR",4.18963925389929,6.22896987023813,"$6,000 - $6,999"
"204","JURONG",4.9910190934669,5.91704498042428,"$6,000 - $6,999"
"205","KEBUN BARU",1.83704351457971,5.92865267982083,"$6,000 - $6,999"
"206","MACPHERSON",0.77112179517826,5.70030219137791,"$6,000 - $6,999"
"207","MARINE PARADE",7.15291026379256,5.87895275616553,"$6,000 - $6,999"
"208","MARSILING-YEW TEE",6.00654248691708,6.6072606867649,"$6,000 - $6,999"
"209","MARYMOUNT",0.663099885363312,5.45493360293161,"$6,000 - $6,999"
